osmid,y,x,street_count,highway,ref,railway,geometry
10080802301,41.0153494,28.9532668,4,crossing,,,POINT (28.9532668 41.0153494)
10080802302,41.0151855,28.9531038,3,,,,POINT (28.9531038 41.0151855)
10080802304,41.0154299,28.9533412,3,,,,POINT (28.9533412 41.0154299)
10082517638,41.0058491,28.9538221,3,,,,POINT (28.9538221 41.0058491)
10082517687,41.0024872,28.9528338,3,,,,POINT (28.9528338 41.0024872)
10082517706,41.0031343,28.9576864,3,,,,POINT (28.9576864 41.0031343)
10082522231,41.0065954,28.9536577,3,,,,POINT (28.9536577 41.0065954)
10082522234,41.0071707,28.9539886,4,,,,POINT (28.9539886 41.0071707)
10082522245,41.0070866,28.9533849,3,,,,POINT (28.9533849 41.0070866)
10082522250,41.0071335,28.9533848,3,traffic_signals,,,POINT (28.9533848 41.0071335)
10082522254,41.0072179,28.9533845,3,crossing,,,POINT (28.9533845 41.0072179)
10082522255,41.0072198,28.9535802,4,crossing,,,POINT (28.9535802 41.0072198)
10082522258,41.0071816,28.9536677,3,crossing,,,POINT (28.9536677 41.0071816)
10082522264,41.0072206,28.9536651,3,,,,POINT (28.9536651 41.0072206)
10082522300,41.0115145,28.9566361,3,,,,POINT (28.9566361 41.0115145)
10090682094,41.0156387,28.9416909,3,crossing,,,POINT (28.9416909 41.0156387)
10090682096,41.0163248,28.9417059,4,crossing,,,POINT (28.9417059 41.0163248)
10090682101,41.0161172,28.9412487,4,crossing,,,POINT (28.9412487 41.0161172)
10090682102,41.0163125,28.9414703,4,crossing,,,POINT (28.9414703 41.0163125)
10090682110,41.0161806,28.9419488,4,crossing,,,POINT (28.9419488 41.0161806)
10090682114,41.0159621,28.9423354,1,,,,POINT (28.9423354 41.0159621)
10090683822,41.0157482,28.9415216,4,crossing,,,POINT (28.9415216 41.0157482)
10090683834,41.0121495,28.9480339,4,crossing,,,POINT (28.9480339 41.0121495)
10090683841,41.0118786,28.9480894,4,crossing,,,POINT (28.9480894 41.0118786)
10090683852,41.0120921,28.9479982,3,,,,POINT (28.9479982 41.0120921)
10090683855,41.0120514,28.947842,3,crossing,,,POINT (28.947842 41.0120514)
10090683859,41.0120644,28.947584,3,,,,POINT (28.947584 41.0120644)
10090683863,41.0119328,28.9480019,4,crossing,,,POINT (28.9480019 41.0119328)
10090683864,41.0119636,28.9479249,4,crossing,,,POINT (28.9479249 41.0119636)
10090683867,41.0121269,28.9480947,4,crossing,,,POINT (28.9480947 41.0121269)
10090683872,41.0114589,28.9480293,3,,,,POINT (28.9480293 41.0114589)
10090683873,41.0115643,28.9478672,4,,,,POINT (28.9478672 41.0115643)
