poi_id,name,lat,lon,poi_group,poi_category,amenity,tourism,historic,leisure,geometry,nearest_edge_u,nearest_edge_v,nearest_edge_key,distance_to_edge_m
5099056201,Urfa Kebap Ve Lahmacun Salonu,41.006797,28.946688,food,amenity:restaurant,restaurant,,,,POINT (28.946688 41.006797),1058894152,1058892431,0,7.816915002256338
5075962024,Urfa kebap sarayı,41.013286,28.948243,food,amenity:restaurant,restaurant,,,,POINT (28.948243 41.013286),1059852984,1594640471,0,6.543581303585647
5075993817,Urfa zaman ciğer ve kebep,41.013319,28.946656,food,amenity:restaurant,restaurant,,,,POINT (28.946656 41.013319),1059852327,2371697935,0,0.23700611433868138
5075962049,Urfalı hacı usta,41.011771,28.949396,food,amenity:restaurant,restaurant,,,,POINT (28.949396 41.011771),4618151747,13478051067,0,7.220569381265529
5088194897,Urfalı çıtır kadir lahmacun pide,41.003304,28.930708,food,amenity:restaurant,restaurant,,,,POINT (28.930708 41.003304),1036041052,2195428751,0,1.2235370680190982
5108827980,Urfalım Kebap,41.014509,28.976186,food,amenity:restaurant,restaurant,,,,POINT (28.976186 41.014509),9040148786,269719185,0,2.4318610063429493
5112749095,Urfam Kebap Döner,41.033187,28.946219,food,amenity:restaurant,restaurant,,,,POINT (28.946219 41.033187),1102850685,1102850654,0,6.021765072953618
5099065483,Ustam Kebap Dünyası,41.007691,28.9441,food,amenity:restaurant,restaurant,,,,POINT (28.9441 41.007691),3371830163,1058996194,0,5.528186992231526
9833781517,Uğur Büryan,41.017095,28.955432,food,amenity:restaurant,restaurant,,,,POINT (28.955432 41.017095),1061624522,1061624194,0,7.159044345207512
5081445110,Uğur Pastaneleri,41.023714,28.95463,food,amenity:restaurant,restaurant,,,,POINT (28.95463 41.023714),1061754041,1061754138,0,0.18787084756951308
5244809867,Vaha Cafe ve Restaurant,41.008007,28.967598,food,amenity:restaurant,restaurant,,,,POINT (28.967598 41.008007),3081525003,3081525006,0,4.487328646261363
