osmid,y,x,elevation
311375190,41.0171257,28.9668417,11.66285133361816
311375199,41.0158607,28.9671961,22.61419105529785
311375201,41.0158716,28.9668863,23.67907333374023
311375203,41.0130139,28.9667112,51.82472991943359
311375205,41.019661,28.964498,1.338888883590698
311375263,41.0209743,28.9628535,1.784722566604614
311375270,41.0195971,28.9638148,2.859206914901733
311375314,41.0192523,28.9622945,17.58928298950195
311375318,41.0199191,28.9625686,9.503195762634277
311375322,41.0188367,28.9626053,27.89240264892578
311375328,41.0172758,28.9624536,35.29946136474609
311375336,41.014965,28.9659663,48.35916137695312
311375340,41.016608,28.9657872,30.01626777648926
311375342,41.0171287,28.9646459,40.88013458251953
311375343,41.0172253,28.964414,44.76619720458984
311375350,41.0167892,28.9587984,27.09004592895508
311375833,41.0191687,28.9595663,9.6843900680542
316924107,41.0089397,28.9375516,52.007080078125
316924108,41.008962,28.9356623,51.27284622192383
316924109,41.0090372,28.9313005,49.72061157226562
316924110,41.0090553,28.930406,46.94414520263672
316924115,41.0068021,28.9333819,45.66390228271484
316924158,41.0095701,28.9313595,48.3554801940918
316924159,41.0100636,28.9314479,51.88378524780273
316924160,41.0124245,28.9315342,54.53108215332031
316924177,41.0123817,28.9335219,54.11678314208984
316924178,41.0123061,28.9378566,47.38980102539062
316924179,41.0123077,28.9383232,41.86819839477539
316924265,41.0118453,28.9287952,50.09959411621094
316924268,41.012096,28.9297707,53.21931838989258
316924271,41.012326,28.9307213,56.55754852294922
316924272,41.0122726,28.9310751,53.52245712280273
316924274,41.012106,28.9315,54.41982650756836
316924287,41.0124287,28.9314354,54.19518661499023
316924331,41.0132945,28.9312049,57.23402786254883
316924334,41.014268,28.9305656,57.02612686157227
316924338,41.0152142,28.9301401,56.81074523925781
316924340,41.0157775,28.9298324,57.75514221191406
316924346,41.0160311,28.9314122,55.10787200927734
316924472,41.0154278,28.9318923,54.50849914550781
316924473,41.0149262,28.9327125,53.40972900390625
316924475,41.0144707,28.9332927,55.51440811157227
316924477,41.0139098,28.9344219,53.37823867797852
316924478,41.0134959,28.9353017,52.92540740966797
316924497,41.0139491,28.9357378,50.31802368164062
316924533,41.0123735,28.9343388,53.89906692504883
316924848,41.0127819,28.9334847,54.68170166015625
316925092,41.0090038,28.9334648,50.09387969970703
316925364,41.0095842,28.9318273,53.51618194580078
316925366,41.0095318,28.9324468,52.74721527099609
316925367,41.0095165,28.9334433,51.81756591796875
